source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,A very big Caravan of over 20000 people started up through Mexico. It has been reduced in size by Mexico but is still coming. Mexico must apprehend the remainder or we will be forced to close that section of the Border &amp; call up the Military. The Coyotes &amp; Cartels have weapons!,04-24-2019 11:25:43,23678,88105,false,1.12101E+18
Twitter for iPhone,I never offered Pardons to Homeland Security Officials never ordered anyone to close our Southern Border (although I have the absolute right to do so and may if Mexico does not apprehend the illegals coming to our Border) and am not “frustrated.” It is all Fake &amp; Corrupt News!,04-13-2019 23:51:55,20901,86472,false,1.11721E+18
Twitter for iPhone,Everybody is now acknowledging that right from the time I announced my run for President I was 100% correct on the Border. Remember the heat I took? Democrats should now get rid of the loopholes. The Border is being fixed. Mexico will not let people through!,04/10/2019 02:22,30480,137296,false,1.1158E+18
Twitter for iPhone,A 9th Circuit Judge just ruled that Mexico is too dangerous for migrants. So unfair to the U.S. OUT OF CONTROL! https://t.co/XF8o3jMDle,04/09/2019 03:10,21208,69348,false,1.11545E+18
Twitter for iPhone,....Mexico must apprehend all illegals and not let them make the long march up to the United States or we will have no other choice than to Close the Border and/or institute Tariffs. Our Country is FULL!,04/08/2019 01:03,25371,112903,false,1.11506E+18
Twitter for iPhone,....it’s powerful common sense Immigration Laws to stop illegals from coming through Mexico into the U.S. and removing them back to their country of origin. Until Mexico cleans up this ridiculous &amp; massive migration we will be focusing on Border Security not Ports of Entry....,04/06/2019 23:36,20261,87325,false,1.11467E+18
Twitter for iPhone,We have redeployed 750 agents at the Southern Border’s specific Ports of Entry in order to help with the large scale surge of illegal migrants trying to make their way into the United States. This will cause traffic &amp; commercial delays until such time as Mexico is able to use....,04/06/2019 23:33,18054,76128,false,1.11467E+18
Twitter for iPhone,....This will supersede USMCA. Likewise I am looking at an economic penalty for the 500 Billion Dollars in illegal DRUGS that are shipped and smuggled through Mexico and across our Southern Border. Over 10000 Americans die each year sooo many families destroyed!,04/05/2019 13:19,15641,65932,false,1.11416E+18
Twitter for iPhone,....However if for any reason Mexico stops apprehending and bringing the illegals back to where they came from the U.S. will be forced to Tariff at 25% all cars made in Mexico and shipped over the Border to us. If that doesn’t work which it will I will close the Border.......,04/05/2019 13:11,18620,84052,false,1.11415E+18
Twitter for iPhone,The Crazed and Dishonest Washington Post again purposely got it wrong. Mexico for the first time in decades is meaningfully apprehending illegals at THEIR Southern Border before the long march up to the U.S. This is great and the way it should be. The big flow will stop.......,04/05/2019 13:04,16437,71103,false,1.11415E+18
Twitter for iPhone,After many years (decades) Mexico is apprehending large numbers of people at their Southern Border mostly from Guatemala Honduras and El Salvador. They have ALL been taking U.S. money for years and doing ABSOLUTELY NOTHING for us just like the Democrats in Congress!,04/02/2019 14:41,25372,103856,false,1.11309E+18
Twitter for iPhone,RT @realDonaldTrump: Mexico must use its very strong immigration laws to stop the many thousands of people trying to get into the USA. Our…,04/01/2019 12:15,32338,0,true,1.11269E+18
Twitter for iPhone,The Democrats are allowing a ridiculous asylum system and major loopholes to remain as a mainstay of our immigration system. Mexico is likewise doing NOTHING a very bad combination for our Country. Homeland Security is being sooo very nice but not for long!,03-31-2019 23:41:52,26973,113153,false,1.1125E+18
Twitter for iPhone,Mexico must use its very strong immigration laws to stop the many thousands of people trying to get into the USA. Our detention areas are maxed out &amp; we will take no more illegals. Next step is to close the Border! This will also help us with stopping the Drug flow from Mexico!,03-30-2019 20:36:30,32334,139280,false,1.11209E+18
Twitter for iPhone,....the Border or large sections of the Border next week. This would be so easy for Mexico to do but they just take our money and “talk.” Besides we lose so much money with them especially when you add in drug trafficking etc.) that the Border closing would be a good thing!,03-29-2019 15:43:46,22750,96039,false,1.11166E+18
Twitter for iPhone,....through their country and our Southern Border. Mexico has for many years made a fortune off of the U.S. far greater than Border Costs. If Mexico doesn’t immediately stop ALL illegal immigration coming into the United States throug our Southern Border I will be CLOSING.....,03-29-2019 15:37:09,28682,126163,false,1.11165E+18
