Fecha,Determinación,"Publicación
DOF","Para solventar
obligaciones"
19/06/2007,10.7494,10.7760,10.8148
20/06/2007,10.7713,10.7494,10.7760
21/06/2007,10.8266,10.7713,10.7494
22/06/2007,10.8080,10.8266,10.7713
23/06/2007,N/E,N/E,10.8266
24/06/2007,N/E,N/E,10.8266
25/06/2007,10.8189,10.8080,10.8266
26/06/2007,10.8398,10.8189,10.8080
27/06/2007,10.8661,10.8398,10.8189
28/06/2007,10.7926,10.8661,10.8398
29/06/2007,10.7946,10.7926,10.8661
30/06/2007,N/E,N/E,10.7926
01/07/2007,N/E,N/E,10.7926
02/07/2007,10.7697,10.7946,10.7926
03/07/2007,10.7698,10.7697,10.7946
04/07/2007,10.7600,10.7698,10.7697
05/07/2007,10.7936,10.7600,10.7698
06/07/2007,10.7828,10.7936,10.7600
07/07/2007,N/E,N/E,10.7936
08/07/2007,N/E,N/E,10.7936
09/07/2007,10.7531,10.7828,10.7936
10/07/2007,10.7917,10.7531,10.7828
11/07/2007,10.8248,10.7917,10.7531
12/07/2007,10.7799,10.8248,10.7917
13/07/2007,10.7608,10.7799,10.8248
14/07/2007,N/E,N/E,10.7799
15/07/2007,N/E,N/E,10.7799
16/07/2007,10.7653,10.7608,10.7799
17/07/2007,10.7628,10.7653,10.7608
18/07/2007,10.7520,10.7628,10.7653
19/07/2007,10.7207,10.7520,10.7628
20/07/2007,10.7843,10.7207,10.7520
21/07/2007,N/E,N/E,10.7207
22/07/2007,N/E,N/E,10.7207
23/07/2007,10.7640,10.7843,10.7207
24/07/2007,10.7846,10.7640,10.7843
25/07/2007,10.8712,10.7846,10.7640
26/07/2007,10.9436,10.8712,10.7846
27/07/2007,10.9973,10.9436,10.8712
28/07/2007,N/E,N/E,10.9436
29/07/2007,N/E,N/E,10.9436
30/07/2007,10.9812,10.9973,10.9436
31/07/2007,10.9273,10.9812,10.9973
01/08/2007,10.9663,10.9273,10.9812
02/08/2007,10.9402,10.9663,10.9273
03/08/2007,10.9677,10.9402,10.9663
04/08/2007,N/E,N/E,10.9402
05/08/2007,N/E,N/E,10.9402
06/08/2007,10.9886,10.9677,10.9402
07/08/2007,10.9613,10.9886,10.9677
08/08/2007,10.9209,10.9613,10.9886
09/08/2007,10.9832,10.9209,10.9613
10/08/2007,11.0173,10.9832,10.9209
11/08/2007,N/E,N/E,10.9832
12/08/2007,N/E,N/E,10.9832
13/08/2007,10.9915,11.0173,10.9832
14/08/2007,11.0549,10.9915,11.0173
15/08/2007,11.1148,11.0549,10.9915
16/08/2007,11.2676,11.1148,11.0549
17/08/2007,11.1259,11.2676,11.1148
18/08/2007,N/E,N/E,11.2676
19/08/2007,N/E,N/E,11.2676
20/08/2007,11.1053,11.1259,11.2676
21/08/2007,11.1213,11.1053,11.1259
22/08/2007,11.0736,11.1213,11.1053
23/08/2007,11.0489,11.0736,11.1213
24/08/2007,11.0413,11.0489,11.0736
25/08/2007,N/E,N/E,11.0489
26/08/2007,N/E,N/E,11.0489
27/08/2007,11.0382,11.0413,11.0489
28/08/2007,11.0920,11.0382,11.0413
29/08/2007,11.1062,11.0920,11.0382
30/08/2007,11.0848,11.1062,11.0920
31/08/2007,11.0378,11.0848,11.1062
01/09/2007,N/E,N/E,11.0848
02/09/2007,N/E,N/E,11.0848
03/09/2007,11.0169,11.0378,11.0848
04/09/2007,11.0265,11.0169,11.0378
05/09/2007,11.0848,11.0265,11.0169
06/09/2007,11.0658,11.0848,11.0265
07/09/2007,11.1227,11.0658,11.0848
08/09/2007,N/E,N/E,11.0658
09/09/2007,N/E,N/E,11.0658
10/09/2007,11.1407,11.1227,11.0658
11/09/2007,11.1057,11.1407,11.1227
12/09/2007,11.0720,11.1057,11.1407
13/09/2007,11.0743,11.0720,11.1057
14/09/2007,11.1110,11.0743,11.0720
15/09/2007,N/E,N/E,11.0743
16/09/2007,N/E,N/E,11.0743
17/09/2007,11.1471,11.1110,11.0743
18/09/2007,11.0959,11.1471,11.1110
19/09/2007,10.9871,11.0959,11.1471
20/09/2007,10.9687,10.9871,11.0959
21/09/2007,10.9517,10.9687,10.9871
22/09/2007,N/E,N/E,10.9687
23/09/2007,N/E,N/E,10.9687
24/09/2007,10.9391,10.9517,10.9687
25/09/2007,10.9438,10.9391,10.9517
26/09/2007,10.9243,10.9438,10.9391
27/09/2007,10.9203,10.9243,10.9438
28/09/2007,10.9315,10.9203,10.9243
29/09/2007,N/E,N/E,10.9203
30/09/2007,N/E,N/E,10.9203
01/10/2007,10.9224,10.9315,10.9203
02/10/2007,10.9210,10.9224,10.9315
03/10/2007,10.8685,10.9210,10.9224
04/10/2007,10.8963,10.8685,10.9210
05/10/2007,10.8557,10.8963,10.8685
06/10/2007,N/E,N/E,10.8963
07/10/2007,N/E,N/E,10.8963
08/10/2007,10.8589,10.8557,10.8963
09/10/2007,10.8379,10.8589,10.8557
10/10/2007,10.8383,10.8379,10.8589
11/10/2007,10.8101,10.8383,10.8379
